date,num_tests_since_last_report,last_report_date,deviation_in_num_of_tests,num_of_tests_singapore,num_of_tests_new_york,num_of_tests_amsterdam,num_of_tests_asia,num_of_tests_europe,num_of_tests_north_america,num_of_tests_south_america,num_of_tests_oceania,num_of_tests_africa
1970-01-01 00:00:00.000000,,0.0,0.0,0,0,0,0,0,0,0,,
2022-09-06 13:07:00.445821,381.0,1970-01-01 00:00:00,,33,305,43,0,104,0,0,0.0,0.0
2022-09-06 13:07:08.601770,0.0,2022-09-06 13:07:00.445821,-100.0,0,0,0,0,0,0,0,0.0,0.0
2022-09-06 13:42:00.879093,0.0,2022-09-06 13:07:08.601770,,0,0,0,0,0,0,0,0.0,0.0
2022-09-06 13:42:29.030367,3.0,2022-09-06 13:42:00.879093,,1,1,1,0,3,0,0,0.0,0.0
2022-09-09 07:15:52.720047,3.0,2022-09-06 13:42:29.030367,0.0,1,2,0,0,3,0,0,0.0,0.0
2022-09-09 07:34:15.716790,0.0,2022-09-09 07:15:52.720047,-100.0,0,0,0,0,0,0,0,0.0,0.0
2022-09-10 15:33:22.192504,1.0,2022-09-09 07:34:15.716790,,0,1,0,0,1,0,0,0.0,0.0
2022-09-10 18:55:47.069655,0.0,2022-09-10 15:33:22.192504,-100.0,0,0,0,0,0,0,0,0.0,0.0
2022-09-10 19:06:46.593063,0.0,2022-09-10 18:55:47.069655,,0,0,0,0,0,0,0,0.0,0.0
2022-09-10 19:12:20.634344,0.0,2022-09-10 19:06:46.593063,,0,0,0,0,0,0,0,0.0,0.0
2022-09-11 19:10:47.943111,0.0,2022-09-10 19:12:20.634344,,0,0,0,0,0,0,0,0.0,0.0
2022-09-18 18:17:04.034392,1.0,2022-09-11 19:10:47.943111,,0,1,0,0,1,0,0,0.0,0.0
2022-09-18 18:30:22.871112,0.0,2022-09-18 18:17:04.034392,-100.0,0,0,0,0,0,0,0,0.0,0.0
2022-09-18 18:34:44.820697,0.0,2022-09-18 18:30:22.871112,,0,0,0,0,0,0,0,0.0,0.0
2022-09-18 18:36:35.665789,0.0,2022-09-18 18:34:44.820697,,0,0,0,0,0,0,0,0.0,0.0
2022-09-18 18:59:42.320718,0.0,2022-09-18 18:36:35.665789,,0,0,0,0,0,0,0,0.0,0.0
2022-09-18 19:00:33.850436,0.0,2022-09-18 18:59:42.320718,,0,0,0,0,0,0,0,0.0,0.0
2022-09-21 09:22:42.942419,41.0,2022-09-18 19:00:33.850436,,8,14,19,0,40,0,0,0.0,0.0
2022-09-28 08:57:17.522951,34.0,2022-09-21 09:22:42.942419,-17.07,6,22,6,0,34,0,0,0.0,0.0
2022-10-07 13:02:00.216858,18.0,2022-09-28 08:57:17.522951,-47.06,0,16,2,0,18,0,0,0.0,0.0
